machine,arch,encoding,b,predicate,sigma,clustered,n,bytes_read,time_ns,read_gbps,values_per_ns,values_per_cycle,beta_scan,beta_stream,f,count,expected
M4,arm64,fastlanes,16,branchy,0.01000,0,67108864,134217728,8628000.0,15.556,7.778,0.00,70.15,93.79,0.2218,671089,671089
M4,arm64,fastlanes,16,branchfree,0.01000,0,67108864,134217728,7181000.0,18.691,9.345,0.00,70.15,93.79,0.2665,671089,671089
M4,arm64,bitpack-scalar,16,branchy,0.00100,0,67108864,134217728,7416000.0,18.098,9.049,0.00,70.15,93.79,0.2580,67109,67109
M4,arm64,bitpack-scalar,16,branchfree,0.00100,0,67108864,134217728,7550000.0,17.777,8.889,0.00,70.15,93.79,0.2534,67109,67109
M4,arm64,fastlanes,16,branchy,0.00100,0,67108864,134217728,8684000.0,15.456,7.728,0.00,70.15,93.79,0.2203,67109,67109
M4,arm64,fastlanes,16,branchfree,0.00100,0,67108864,134217728,7142000.0,18.793,9.396,0.00,70.15,93.79,0.2679,67109,67109
M4,arm64,bitpack-scalar,16,branchy,0.00010,0,67108864,134217728,7399000.0,18.140,9.070,0.00,70.15,93.79,0.2586,6711,6711
M4,arm64,bitpack-scalar,16,branchfree,0.00010,0,67108864,134217728,7551000.0,17.775,8.887,0.00,70.15,93.79,0.2534,6711,6711
M4,arm64,fastlanes,16,branchy,0.00010,0,67108864,134217728,8799000.0,15.254,7.627,0.00,70.15,93.79,0.2175,6711,6711
M4,arm64,fastlanes,16,branchfree,0.00010,0,67108864,134217728,7242000.0,18.533,9.267,0.00,70.15,93.79,0.2642,6711,6711
M4,arm64,bitpack-scalar,17,branchy,1.00000,0,67108864,142606336,32490000.0,4.389,2.066,0.00,70.15,93.79,0.0626,67108864,67108864
M4,arm64,bitpack-scalar,17,branchfree,1.00000,0,67108864,142606336,32629000.0,4.371,2.057,0.00,70.15,93.79,0.0623,67108864,67108864
M4,arm64,fastlanes,17,branchy,1.00000,0,67108864,142606336,12500000.0,11.409,5.369,0.00,70.15,93.79,0.1626,67108864,67108864
M4,arm64,fastlanes,17,branchfree,1.00000,0,67108864,142606336,8028000.0,17.764,8.359,0.00,70.15,93.79,0.2532,67108864,67108864
M4,arm64,bitpack-scalar,17,branchy,0.50000,0,67108864,142606336,32562000.0,4.380,2.061,0.00,70.15,93.79,0.0624,33554432,33554432
M4,arm64,bitpack-scalar,17,branchfree,0.50000,0,67108864,142606336,32971000.0,4.325,2.035,0.00,70.15,93.79,0.0617,33554432,33554432
M4,arm64,fastlanes,17,branchy,0.50000,0,67108864,142606336,12547000.0,11.366,5.349,0.00,70.15,93.79,0.1620,33554432,33554432
M4,arm64,fastlanes,17,branchfree,0.50000,0,67108864,142606336,8066000.0,17.680,8.320,0.00,70.15,93.79,0.2520,33554432,33554432
M4,arm64,bitpack-scalar,17,branchy,0.10000,0,67108864,142606336,33055000.0,4.314,2.030,0.00,70.15,93.79,0.0615,6710886,6710886
M4,arm64,bitpack-scalar,17,branchfree,0.10000,0,67108864,142606336,32496000.0,4.388,2.065,0.00,70.15,93.79,0.0626,6710886,6710886
M4,arm64,fastlanes,17,branchy,0.10000,0,67108864,142606336,12521000.0,11.389,5.360,0.00,70.15,93.79,0.1624,6710886,6710886
M4,arm64,fastlanes,17,branchfree,0.10000,0,67108864,142606336,8054000.0,17.706,8.332,0.00,70.15,93.79,0.2524,6710886,6710886
M4,arm64,bitpack-scalar,17,branchy,0.01000,0,67108864,142606336,32744000.0,4.355,2.050,0.00,70.15,93.79,0.0621,671089,671089
M4,arm64,bitpack-scalar,17,branchfree,0.01000,0,67108864,142606336,33393000.0,4.271,2.010,0.00,70.15,93.79,0.0609,671089,671089
M4,arm64,fastlanes,17,branchy,0.01000,0,67108864,142606336,12753000.0,11.182,5.262,0.00,70.15,93.79,0.1594,671089,671089
